Date,Close,Open,High,Low,Change %
2017-03-17,121.03,121.98,122.28,120.81,-0.80%
2017-03-20,120.87,120.90,121.46,120.69,-0.13%
2017-03-21,120.79,120.87,121.88,120.64,-0.07%
2017-03-22,120.03,120.72,120.84,119.64,-0.63%
2017-03-23,119.62,120.07,120.36,119.32,-0.34%
2017-03-24,120.23,119.66,120.31,119.53,0.51%
2017-03-27,120.23,120.08,120.36,119.55,0.00%
2017-03-28,120.19,120.21,120.43,119.69,-0.03%
2017-03-29,119.56,120.15,120.47,119.01,-0.52%
2017-03-30,119.48,119.57,119.87,119.08,-0.07%
2017-03-31,118.67,119.49,119.86,118.61,-0.68%
2017-04-03,118.31,118.78,119.09,118.11,-0.30%
2017-04-04,118.20,118.31,118.39,117.42,-0.09%
2017-04-05,118.05,118.18,118.85,117.99,-0.13%
2017-04-06,117.95,118.06,118.45,117.36,-0.08%
2017-04-07,117.62,117.95,118.20,117.33,-0.28%
2017-04-10,117.56,117.77,118.12,117.47,-0.05%
2017-04-11,116.22,117.53,117.59,116.19,-1.14%
2017-04-12,116.30,116.28,116.61,115.95,0.07%
2017-04-13,115.80,116.25,116.48,115.70,-0.43%
2017-04-14,115.28,115.80,116.06,115.20,-0.45%
2017-04-17,115.92,115.27,116.08,114.84,0.56%
2017-04-18,116.35,115.93,116.54,115.76,0.37%
2017-04-19,116.61,116.33,117.00,116.27,0.22%
2017-04-20,117.17,116.58,117.83,116.50,0.48%
2017-04-21,117.03,117.17,117.33,116.44,-0.12%
2017-04-24,119.29,120.57,120.86,118.89,1.93%
2017-04-25,121.38,119.30,121.66,119.03,1.75%
2017-04-26,121.09,121.37,122.00,120.88,-0.24%
2017-04-27,120.98,121.09,121.91,120.60,-0.09%
2017-04-28,121.55,120.97,122.03,120.68,0.47%
2017-05-01,121.89,121.36,122.08,121.23,0.28%
2017-05-02,122.40,121.92,122.62,121.84,0.42%
2017-05-03,122.74,122.42,122.89,122.32,0.28%
